Timestamp,Filename,Number of Slides,Number of Products
2025-06-02 11:03:05,PP-YR25-0317.pptx,1,2
2025-06-02 11:08:01,PP-YR25-0318.pptx,2,6
2025-06-02 11:08:15,PP-YR25-0319.pptx,2,4
2025-06-02 11:08:16,PP-YR25-0320.pptx,2,4
2025-06-02 11:08:16,PP-YR25-0320.pptx,2,4
2025-06-02 11:19:02,PP-YR25-0321.pptx,1,1
2025-06-02 11:21:24,PP-YR25-0322.pptx,1,5
2025-06-02 12:10:11,PP-YR25-0323.pptx,1,5
2025-06-02 12:19:57,PP-YR25-0324.pptx,1,1
2025-06-02 12:26:29,PP-YR25-0325.pptx,1,5
2025-06-02 12:38:58,PP-YR25-0300.pptx,1,3
2025-06-02 12:40:16,PP-YR25-0301.pptx,1,1
2025-06-02 12:41:15,PP-YR25-0302.pptx,1,3
2025-06-02 13:05:48,PP-YR25-0303.pptx,1,3
2025-06-02 14:03:43,PP-YR25-0304.pptx,1,4
2025-06-02 14:12:00,PP-YR25-0305.pptx,1,3
2025-06-02 14:24:44,PP-YR25-0306.pptx,1,5
2025-06-02 14:25:38,PP-YR25-0307.pptx,1,5
2025-06-02 16:45:46,PP-YR25-0308.pptx,3,7
2025-06-02 16:51:17,PP-YR25-0309.pptx,3,2
2025-06-02 16:56:41,PP-YR25-0310.pptx,2,1
2025-06-03 14:25:13,PP-YR25-0312.pptx,3,2
2025-06-03 14:29:01,PP-YR25-0313.pptx,2,2
2025-06-03 14:52:07,PP-YR25-0314.pptx,2,2
2025-06-03 15:25:49,PP-YR25-0315.pptx,2,2
2025-06-03 16:33:55,PP-YR25-0316.pptx,1,0
2025-06-03 16:45:34,PP-YR25-0317.pptx,2,2
2025-06-03 16:47:20,PP-YR25-0318.pptx,3,3
2025-06-03 17:27:59,PP-YR25-0319.pptx,2,2
2025-06-03 17:32:30,PP-YR25-0320.pptx,2,2
2025-06-04 11:01:26,PP-YR25-0321.pptx,2,2
2025-06-04 11:02:38,PP-YR25-0322.pptx,2,2
2025-06-04 11:04:55,PP-YR25-0323.pptx,2,3
2025-06-04 11:16:13,PP-YR25-0324.pptx,2,4
2025-06-04 11:16:54,PP-YR25-0325.pptx,1,3
2025-06-04 11:32:15,PP-YR25-0326.pptx,1,3
2025-06-04 11:32:38,PP-YR25-0327.pptx,1,3
2025-06-04 11:48:46,PP-YR25-0328.pptx,1,3
2025-06-04 11:59:33,PP-YR25-0329.pptx,2,6
2025-06-09 10:10:22,PP-YR25-0330.pptx,1,1
2025-06-09 10:10:48,PP-YR25-0331.pptx,2,2
2025-06-09 14:31:18,PP-YR25-0332.pptx,1,1
2025-06-09 15:49:07,PP-YR25-0333.pptx,1,0
2025-06-09 16:14:37,PP-YR25-0334.pptx,2,2
2025-06-09 16:24:03,PP-YR25-0335.pptx,1,0
2025-06-10 10:17:55,PP-YR25-0336.pptx,1,0
2025-06-10 10:19:50,PP-YR25-0337.pptx,1,0
2025-06-10 10:50:20,PP-YR25-0338.pptx,1,0
2025-06-10 10:55:51,PP-YR25-0339.pptx,2,0
2025-06-10 11:15:55,PP-YR25-0340.pptx,1,0
2025-06-10 11:55:09,PP-YR25-0341.pptx,1,0
2025-06-10 11:59:03,PP-YR25-0342.pptx,2,3
2025-06-11 09:02:36,PP-YR25-0343.pptx,2,3
2025-06-11 09:24:49,PP-YR25-0344.pptx,1,1
2025-06-11 10:16:48,PP-YR25-0345.pptx,1,1
2025-06-11 10:17:03,PP-YR25-0346.pptx,1,1
2025-06-11 10:17:24,PP-YR25-0347.pptx,1,1
2025-06-11 10:25:23,PP-YR25-0348.pptx,1,1
2025-06-11 10:31:16,PP-YR25-0349.pptx,1,1
2025-06-11 10:31:32,PP-YR25-0350.pptx,1,1
2025-06-11 10:36:02,PP-YR25-0351.pptx,1,1
2025-06-11 10:36:33,PP-YR25-0352.pptx,1,1
2025-06-11 10:39:20,PP-YR25-0353.pptx,1,1
2025-06-11 10:39:32,PP-YR25-0354.pptx,1,1
2025-06-11 10:39:41,PP-YR25-0355.pptx,1,1
2025-06-11 10:42:13,PP-YR25-0356.pptx,1,1
2025-06-11 10:43:55,PP-YR25-0357.pptx,1,1
2025-06-11 10:59:22,PP-YR25-0358.pptx,1,1
2025-06-11 11:06:50,PP-YR25-0359.pptx,1,1
2025-06-11 11:13:06,PP-YR25-0360.pptx,1,1
2025-06-11 11:17:16,PP-YR25-0361.pptx,1,1
2025-06-11 11:17:26,PP-YR25-0362.pptx,1,1
2025-06-11 11:21:55,PP-YR25-0363.pptx,1,1
2025-06-11 11:27:58,PP-YR25-0364.pptx,1,1
2025-06-11 11:28:46,PP-YR25-0365.pptx,3,17
2025-06-11 11:46:40,PP-YR25-0366.pptx,1,2
2025-06-11 11:47:18,PP-YR25-0367.pptx,1,2
2025-06-11 11:47:35,PP-YR25-0368.pptx,1,1
2025-06-11 11:57:52,PP-YR25-0369.pptx,1,2
2025-06-11 12:00:36,PP-YR25-0370.pptx,1,2
2025-06-11 12:04:56,PP-YR25-0371.pptx,1,2
2025-06-11 12:06:27,PP-YR25-0372.pptx,1,2
2025-06-11 12:07:45,PP-YR25-0373.pptx,1,2
2025-06-11 12:11:38,PP-YR25-0374.pptx,1,2
2025-06-11 12:16:59,PP-YR25-0375.pptx,1,3
2025-06-11 12:20:08,PP-YR25-0376.pptx,1,3
2025-06-11 12:23:56,PP-YR25-0377.pptx,1,3
2025-06-11 12:26:27,PP-YR25-0378.pptx,1,3
2025-06-11 12:31:12,PP-YR25-0379.pptx,1,3
2025-06-11 12:33:18,PP-YR25-0380.pptx,1,3
2025-06-11 12:38:46,PP-YR25-0381.pptx,1,3
2025-06-11 12:41:32,PP-YR25-0382.pptx,1,4
2025-06-11 12:43:53,PP-YR25-0383.pptx,1,4
2025-06-11 12:45:20,PP-YR25-0384.pptx,1,4
2025-06-11 12:47:20,PP-YR25-0385.pptx,1,4
2025-06-11 12:56:39,PP-YR25-0386.pptx,1,4
2025-06-11 12:56:56,PP-YR25-0387.pptx,1,4
2025-06-11 12:58:46,PP-YR25-0388.pptx,1,4
2025-06-11 13:35:07,PP-YR25-0389.pptx,1,4
2025-06-11 13:37:58,PP-YR25-0390.pptx,1,4
2025-06-11 13:56:14,PP-YR25-0391.pptx,1,4
2025-06-11 14:02:24,PP-YR25-0392.pptx,1,5
2025-06-11 14:03:43,PP-YR25-0393.pptx,1,5
2025-06-11 14:05:47,PP-YR25-0394.pptx,1,5
2025-06-11 14:07:31,PP-YR25-0395.pptx,1,5
2025-06-11 14:15:10,PP-YR25-0396.pptx,1,5
2025-06-11 14:41:38,PP-YR25-0397.pptx,1,5
2025-06-11 14:43:14,PP-YR25-0398.pptx,1,5
2025-06-11 14:51:37,PP-YR25-0399.pptx,1,5
2025-06-11 14:58:37,PP-YR25-0400.pptx,1,5
2025-06-11 14:59:33,PP-YR25-0401.pptx,3,12
2025-06-11 15:02:38,PP-YR25-0402.pptx,1,6
2025-06-11 15:05:53,PP-YR25-0403.pptx,1,6
2025-06-11 15:12:05,PP-YR25-0404.pptx,1,6
2025-06-11 15:13:34,PP-YR25-0405.pptx,1,6
2025-06-11 15:15:23,PP-YR25-0406.pptx,1,6
2025-06-11 15:19:57,PP-YR25-0407.pptx,1,7
2025-06-11 15:23:08,PP-YR25-0408.pptx,1,7
2025-06-11 15:29:36,PP-YR25-0409.pptx,1,7
2025-06-11 15:30:56,PP-YR25-0410.pptx,1,7
2025-06-11 15:33:00,PP-YR25-0411.pptx,1,7
2025-06-11 15:34:26,PP-YR25-0412.pptx,1,7
2025-06-11 15:35:21,PP-YR25-0413.pptx,1,7
2025-06-11 15:38:47,PP-YR25-0414.pptx,1,7
2025-06-11 15:44:19,PP-YR25-0415.pptx,1,7
2025-06-11 15:58:28,PP-YR25-0416.pptx,1,4
2025-06-11 16:18:27,PP-YR25-0417.pptx,7,28
2025-06-11 16:20:20,PP-YR25-0418.pptx,8,34
2025-06-11 17:28:24,PP-YR25-0419.pptx,1,0
2025-06-11 17:35:13,PP-YR25-0420.pptx,3,18
2025-06-11 17:45:55,PP-YR25-0421.pptx,3,16
2025-06-11 17:46:11,PP-YR25-0422.pptx,3,16
2025-06-12 09:16:29,PP-YR25-0423.pptx,1,0
2025-06-12 09:16:42,PP-YR25-0424.pptx,2,2
2025-06-12 09:17:41,PP-YR25-0425.pptx,2,3
2025-06-12 09:58:29,PP-YR25-0426.pptx,1,1
2025-06-12 09:59:08,PP-YR25-0427.pptx,3,12
2025-06-12 09:59:47,PP-YR25-0428.pptx,3,0
2025-06-12 10:15:20,PP-YR25-0429.pptx,1,0
2025-06-12 10:15:36,PP-YR25-0430.pptx,3,0
2025-06-12 10:15:59,PP-YR25-0431.pptx,3,0
2025-06-12 10:51:18,PP-YR25-0432.pptx,3,4
2025-06-12 11:01:42,PP-YR25-0433.pptx,1,0
2025-06-12 11:18:11,PP-YR25-0434.pptx,2,0
2025-06-12 11:30:29,PP-YR25-0435.pptx,1,4
2025-06-12 12:06:30,PP-YR25-0436.pptx,4,5
2025-06-12 12:11:52,PP-YR25-0437.pptx,5,13
2025-06-12 12:33:13,PP-YR25-0438.pptx,7,35
2025-06-12 13:55:47,PP-YR25-0439.pptx,7,35
2025-06-12 14:33:12,PP-YR25-0440.pptx,5,28
2025-06-12 14:43:03,PP-YR25-0441.pptx,3,18
2025-06-12 16:06:36,PP-YR25-0442.pptx,1,0
2025-06-12 16:20:43,PP-YR25-0443.pptx,3,6
2025-06-13 15:39:39,PP-YR25-0444.pptx,11,40
2025-06-13 17:34:55,PP-YR25-0445.pptx,2,0
2025-06-13 17:36:20,PP-YR25-0446.pptx,4,0
2025-06-16 12:19:52,PP-YR25-0447.pptx,3,4
2025-06-16 12:27:10,PP-YR25-9876.pptx,1,0
2025-06-16 12:27:56,PP-YR25-49877.pptx,1,0
2025-06-17 11:21:54,PP-YR25-0300.pptx,1,0
2025-06-17 12:09:58,PP-YR25-0301.pptx,1,1
2025-06-17 15:01:57,PP-YR25-0302.pptx,2,4
2025-06-17 15:02:57,PP-YR25-0303.pptx,2,3
2025-06-19 09:14:34,PP-YR25-0304.pptx,1,1
2025-06-19 09:14:36,PP-YR25-0305.pptx,1,1
2025-06-19 09:22:32,PP-YR25-0306.pptx,1,2
2025-06-19 14:54:20,PP-YR25-0300.pptx,1,1
2025-06-23 09:50:43,PP-YR25-0301.pptx,1,2
2025-06-23 10:02:26,PP-YR25-0302.pptx,2,1
2025-06-23 10:11:04,PP-YR25-0303.pptx,1,1
2025-06-23 10:11:42,PP-YR25-0304.pptx,1,1
2025-06-23 10:29:15,PP-YR25-0305.pptx,1,4
2025-06-23 10:30:34,PP-YR25-0306.pptx,1,4
2025-06-23 10:31:21,PP-YR25-0307.pptx,1,4
2025-06-24 09:43:34,PP-YR25-0308.pptx,1,1
2025-06-24 12:13:46,PP-YR25-0309.pptx,2,4
2025-06-25 13:16:30,PP-YR25-0310.pptx,1,0
2025-06-26 11:45:48,PP-YR25-0311.pptx,1,2
2025-07-01 17:47:47,PP-YR25-0312.pptx,1,0
2025-07-02 10:15:28,PP-YR25-0313.pptx,3,19
2025-07-02 10:25:28,PP-YR25-0314.pptx,1,7
2025-07-02 10:47:03,PP-YR25-0315.pptx,1,7
2025-07-02 10:50:02,PP-YR25-0316.pptx,1,7
